"Sample","Scanner Modality","Creator","Event date","Study Date and Time (log)","Software","Description","Description attachment file","Photographic reference file","Filter","Exposure time","Flux normalization","Pixel spacing calibration","Shading correction","Frame averaging","Projections","Voltage","Power","Amperage","Surrounding material","X-ray tube type","Target type","Detector type","Detector pixels X","Detector pixels size X","Detector pixels Y","Detector pixels size Y","Detector configuration","Source object distance","Source detector distance","Target material","Rotation number","Phase contrast","Optical magnification","Acquisition type","Log file","Notes"
"NMMB-M011879","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/02/09","09 Feb 2022  09h:44m:55s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011879\NMMB-M011879.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011880","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/02/09","09 Feb 2022  10h:26m:23s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 8.076066 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=8.076066 um; Scaled Image Pixel Size=8.076066 um","Flat Field Correction=ON","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","36.522 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","2.17x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011880\NMMB-M011880.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011881","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/02/09","09 Feb 2022  12h:01m:32s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 40 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON","ON (3)","516","40 kV","8 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011881\NMMB-M011881.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011882","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/15","15 Jun 2022  15h:55m:48s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um","Flat Field Correction=ON","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","59.134 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011882\NMMB-M011882.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011883","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/13","13 Jun 2022  13h:43m:21s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 60 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um","Flat Field Correction=ON","ON (3)","516","60 kV","12 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","59.134 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011883\NMMB-M011883.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011885","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/20","20 Jun 2022  12h:35m:03s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 453 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","","","Al 0.5mm","453 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um","Flat Field Correction=ON","ON (2)","1029","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","3.478x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011885\NMMB-M011885.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011886","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/13","13 Jun 2022  11h:20m:35s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 60 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um","Flat Field Correction=ON","ON (3)","516","60 kV","12 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","59.134 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011886\NMMB-M011886.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011887","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/20","20 Jun 2022  13h:42m:11s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 453 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","","","Al 0.5mm","453 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um","Flat Field Correction=ON","ON (2)","1029","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","3.478x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011887\NMMB-M011887.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011888","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/14","14 Jun 2022  13h:56m:03s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um","Flat Field Correction=ON","ON (2)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","59.134 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011888\NMMB-M011888.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011889","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/20","20 Jun 2022  11h:28m:01s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 453 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","","","Al 0.5mm","453 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um","Flat Field Correction=ON","ON (2)","1029","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","3.478x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011889\NMMB-M0118.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011891","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/14","14 Jun 2022  14h:57m:22s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON","ON (2)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011891\NMMB-M011891.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011892","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/15","15 Jun 2022  14h:41m:54s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 11.075948 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=11.075948 um; Scaled Image Pixel Size=11.075948 um","Flat Field Correction=ON","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","50.088 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.582x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011892\NMMB-M011892.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011893","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/13","13 Jun 2022  15h:21m:30s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 60 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um","Flat Field Correction=ON","ON (3)","516","60 kV","12 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","59.134 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011893\NMMB-M011893.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011894","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/06/14","14 Jun 2022  15h:52m:28s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 531 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","531 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON","ON (2)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011894\NMMB-M011894.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011895","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/28","28 Nov 2022  10h:16m:04s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 20.524122 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=20.524122 um; Scaled Image Pixel Size=20.524122 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","92.816 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","0.854x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011895\NMMB-M011895.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011896","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/24","24 Nov 2022  10h:47m:21s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011896\NMMB-M011896.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011897","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/24","24 Nov 2022  12h:32m:52s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011897\NMMB-M011897.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011898","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/24","24 Nov 2022  14h:56m:56s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 13.076171 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=13.076171 um; Scaled Image Pixel Size=13.076171 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","59.134 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.34x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011898\NMMB-M011898.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011899","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/24","24 Nov 2022  14h:30m:38s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011899\NMMB-M011899.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011900","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/25","25 Nov 2022  11h:28m:55s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 1029 projections, 50 kV, 200 uA, 850 ms exposure, Al 0.5mm filter, and 5.038145 um image pixel size.","","","Al 0.5mm","850 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=5.038145 um; Scaled Image Pixel Size=5.038145 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","1029","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","4032","17.525 um","2688","17.525 um","Camera binning=1x1; Image format=TIFF; Depth=16 bits; Columns=4032; Rows=2688","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.200 deg; approx. 205.8 deg acquisition coverage","Not recorded in log","3.478x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011900\NMMB-M011900.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
"NMMB-M011901","X-Ray Computed Tomography (CT/microCT)","Kuan Yu Cho","2022/11/24","24 Nov 2022  12h:13m:39s","NRecon","SkyScan1276 microCT acquisition reconstructed with NRecon. Log reports 516 projections, 50 kV, 200 uA, 550 ms exposure, Al 0.5mm filter, and 10.076290 um image pixel size.","","","Al 0.5mm","550 ms","Reference Intensity=58000; Flat Field Correction=ON","Image Pixel Size=10.076290 um; Scaled Image Pixel Size=10.076290 um","Flat Field Correction=ON; Heel Effect Correction On=0","ON (3)","516","50 kV","10 W (calculated from kV x mA)","200 uA","Not recorded in log","HAMAMATSU L10321; source spot size=Small","Not recorded in log","XIMEA MH110XC-KK-TP","2016","17.525 um","1344","17.525 um","Camera binning=2x2; Image format=TIFF; Depth=16 bits; Columns=2016; Rows=1344","45.568 mm","158.506 mm","Not recorded in log","Use 360 Rotation=NO; Rotation Step=0.400 deg; approx. 206.4 deg acquisition coverage","Not recorded in log","1.739x (calculated from detector pixel size / image pixel size)","STEP AND SHOOT; Scanning Trajectory=ROUND","G:\我的雲端硬碟\0.RPG_System_Center\Raw\0.Publish\1.Doridida spicule and phylogeny\MicroCT_data\voi\NMMB-M011901\NMMB-M011901.log","Power, angular coverage, and magnification are calculated from logged values; surrounding material and target fields require external confirmation."
